CAE;Кол-во (шт.) (Склад Москва КрС);Розница (руб.) (Склад Москва КрС);Цена (руб.) (Склад Москва КрС);
"R2801";2;8690;7064;
"R2803";4;10260;8343;
"R2805";более 40;18940;15397;
"R2807";8;9330;7585;
"R2809";2;10090;8208;
"R2811";4;20870;16968;
"R2813";8;15820;12864;
"R2817";10;12050;9796;
"R2820";19;23090;18771;
"R2829";более 40;7940;6460;
"R2831";12;12320;10022;
"R2832";более 40;17820;14488;
"R2836";3;10290;8369;
"R2841";16;6950;5653;
"R2843";18;9350;7602;
"R2846";6;6340;5155;
"R2853";более 40;18720;15217;
"R3033";более 40;10950;8904;
"R3564";38;17220;14005;
"R4070";8;14960;12164;
"R4072";8;27170;22086;
"R4073";29;25340;20604;
"R4077";16;18320;14894;
"211598";21;38310;30164;
"BR013597";1;15920;12936;
"3288700";более 40;5740;4665;
"E4629";8;30310;24639;
"2855800";8;39600;32194;
"2618300";28;32370;26317;
"2248723";1;9730;7908;
"2248643";2;11260;9148;
"2248683";1;10360;8419;
"T430670";12;16270;13225;
"086474";8;39750;31298;
"T430588";1;5820;4724;
"T430679";более 40;19440;15800;
"659916";8;21300;17313;
"049220";2;24720;20094;
"069977";2;33100;26906;
"T430651";более 40;10440;8484;
"T430672";3;14470;11757;
"T430591";8;7590;6167;
"BR013633";12;10740;8728;
"T430596";13;9190;7471;
"T430694";более 40;23670;19242;
"T430618";4;19770;16072;
"BR013605";3;19950;16217;
"BR013608";8;21020;17085;
"BR013632";8;10370;8426;
"0345085";более 40;22420;18221;
"BR013604";4;20710;16835;
"BR013619";4;21300;17314;
"BR013613";2;22650;18414;
"BR013628";4;14380;11691;
"R2839";4;19940;16209;
"R1679";1;25970;21110;
"0345130";3;25930;21081;
"R1683";2;19770;16075;
"0355253";13;30220;24562;
"0355207";5;24560;19962;
"BR013610";1;21720;17655;
"0345126";более 40;24220;19687;
"0355265";1;31650;25731;
"0344979";5;6650;5401;
"0355146";1;33460;27202;
"2232813";более 40;10160;8255;
"134770";4;11040;8974;
"2753000";1;24800;20158;
"2822300";12;40410;32848;
"574276";4;16770;13632;
"028446";3;22240;17508;
"312659";19;34140;27755;
"0345051";1;14940;12142;
"558962";9;24020;19523;
"0345008";1;17660;14357;
"0345067";более 40;16020;13020;
"0355263";6;30830;25058;
"BR013607";4;24760;20130;
"2208753";3;10047;7911;
"BR013614";4;21880;17788;
"0355034";1;16100;13088;
"041387";16;26120;20563;
"873665";4;17010;13392;
"783387";12;22580;18353;
"BR013617";4;18240;14824;
"0355235";4;23970;19485;
"2251273";1;12910;10493;
"2232753";более 40;8630;7009;
"F1473";1;8470;6662;
"T430764";более 40;21580;17544;
"2774600";37;49570;40293;
"3560600";28;17130;13920;
"542808";1;11380;9252;
"0344993";28;17750;14430;
"BR007670";8;22140;17999;
"T430648";8;13480;10955;
"TS32369";более 40;22330;18154;
"1460001";более 40;27630;26062;
"BR470723";1;6650;5400;
"BR470726";более 40;12050;9795;
"BR470728";более 40;13520;10989;
"635100";4;19030;15465;
"455980";40;10760;8742;
"881028";35;9080;7382;
"356326";12;13180;10715;
"785634";более 40;9540;7754;
"607964";2;6120;4970;
"817272";2;8780;7138;
"2228893";1;11460;9311;
"975309";8;9820;7981;
"2251143";1;8650;7029;
"0345068";16;23830;19368;
"540471";36;10170;8262;
"594411";24;13090;10641;
"263558";более 40;7410;6021;
"767904";28;9650;7841;
"002952";9;9770;7935;
"2557100";более 40;16280;13232;
"0355250";2;31130;25306;
"483453";1;27420;21583;
"747952";20;23320;18958;
"R2440";11;9130;7185;
"R2442";более 40;6630;5220;
"R2455";19;7040;5543;
"R2456";более 40;7540;5934;
"R2457";более 40;7930;6239;
"R2465";более 40;10670;8401;
"R2466";2;10760;8472;
"R2471";19;10340;8141;
"R2472";более 40;12970;10212;
"R4532";18;20430;16081;
"R4537";2;24380;19195;
"R2424";более 40;7240;5699;
"R2447";18;6140;4831;
"R2459";21;6780;5334;
"546938";14;7890;6207;
"T430558";4;22150;17440;
"T430582";7;29790;23450;
"T430550";4;16530;13009;
"T430579";12;27430;21596;
"T430585";6;30690;24163;
"T430560";8;24520;19304;
"BR008045";1;16590;13060;
"R2476";более 40;10740;8453;
"R2439";5;7720;6077;
"F9455";3;12730;10023;
"E4682";2;38270;30132;
"E4700";1;31320;24656;
"E4701";4;29500;23228;
"R4538";4;24680;19426;
"F0379";7;40270;31705;
"E4777";2;11420;8992;
"E4779";12;11610;9141;
"R3814";1;34330;27025;
"303560";13;29390;23137;
"442737";20;33780;26594;
"R0406";1;12190;9598;
"678411";35;20640;16248;
"379499";3;28070;22100;
"038320";1;24220;19064;
"413019";3;23370;18394;
"042752";2;23950;18000;
"440240";2;31990;25183;
"457823";18;24010;18900;
"632600";2;40860;32166;
"633987";11;41650;32790;
"741479";28;8070;6350;
"750353";2;10160;8000;
"824985";6;31390;24713;
"956602";20;7050;5545;
"097208";1;19810;15592;
"047572";более 40;31640;24909;
"075010";20;29900;23543;
"194893";34;31010;24412;
"397469";16;26540;20896;
"897613";8;36440;28686;
"941156";более 40;32490;25577;
"943151";23;26390;20777;
"543486";1;12940;10520;
"0358448";16;5790;4554;
"0359036";2;25850;20353;
"K9339";5;5380;4235;
"545043";3;23370;18394;
"E4650";6;30620;24107;
"E4678";4;32060;25237;
"15109";3;8090;6363;
"15105";1;6460;5082;
"E4755";7;10930;8600;
"E4758";4;11610;9140;
"E4757";3;11950;9405;
"R1915";1;15870;12489;
"E4760";1;12190;9591;
"0358294";3;6670;5248;
"572770";2;14170;11155;
"548247";28;15520;12213;
"579244";10;10450;8224;
"3584900";более 40;12460;9807;
"3585400";более 40;12580;9903;
"3585600";2;12660;9963;
"2710100";9;26740;21053;
"2485100";4;12020;9462;
"2435700";7;19890;15661;
"2904800";3;23710;18663;
"2489900";4;20360;16029;
"283254";6;36840;29001;
"BR011227";12;14680;11559;
"579248";2;12250;9645;
"579198";28;10940;8613;
"R2436";более 40;5890;4631;
"BR010433";более 40;15610;12287;
"BR018317";3;6650;5232;
"BR018342";4;12350;9719;
"0358860";более 40;7130;5609;
"544288";22;12670;9971;
"544289";10;12760;10046;
"547989";4;16700;13144;
"548014";2;22370;17608;
"549696";7;15020;11823;
"549706";2;14570;11470;
"549707";3;17930;14112;
"549714";2;16540;13018;
"549719";33;15620;12292;
"TS32392";2;18720;15218;
"R3620";1;29790;23456;
"R4066";3;21260;16737;
"0358616";7;14090;11092;
"T430504";20;26190;21286;
"2177673";1;8160;6425;
"T430490";25;20300;16503;
"T430505";1;26330;21399;
"T430522";1;31170;25338;
"T430517";2;30280;24616;
"1024676";более 40;6980;5330;
"1022786";4;9200;7026;
"1027607";1;15540;11868;
"1023450";12;19600;14969;
"T430498";20;24050;19551;
"0359132";более 40;12690;9987;
"T430513";более 40;30190;24541;
"T430495";2;21650;17600;
"T430776";10;29820;24241;
"0358284";более 40;7130;5609;
"3289500";более 40;19390;15759;
"786194";более 40;17140;13932;
"3CL080H1";1;6290;5111;
"R2230";8;9750;7671;
"549691";1;19930;15686;
"548013";2;17130;13481;
"549725";2;14470;11391;
"2685200";2;31410;24731;
"2002000";4;12590;9616;
"1024320";4;20770;15865;
"0354817";1;17060;13427;
"E4754";4;12920;10167;
"R4534";17;19150;15078;
"CTS219734";20;8190;7055;
"CTS219738";19;6780;5842;
"CTS219739";16;10990;9018;
"CTS219741";12;6530;5622;
"0356921";1;13330;10492;
"R4531";2;15610;12288;
"086974";1;16910;13314;
"0357208";2;29790;23455;
"1022430";4;13330;10834;
"0357218";1;21750;17119;
"543738";5;8090;6364;
"R4548";1;31900;25111;
"CTS220199";27;9580;8255;
"2728400";1;49490;38962;
"836741";12;11770;9261;
"936561";1;20710;16305;
"026538";9;36130;29371;
"158907";30;39180;31853;
"756996";18;38670;31435;
"2479300";10;23310;18348;
"2494500";2;39110;30788;
"2611600";2;33400;26297;
"2632300";18;32850;25864;
"2638200";2;33800;26612;
"2661800";3;15670;12333;
"2727700";2;38520;30325;
"2774500";8;49400;40157;
"2863400";1;35720;28124;
"2913500";2;22380;18187;
"3244400";более 40;9250;7519;
"3294100";8;18100;14710;
"3294200";31;21080;17135;
"3324500";более 40;21400;17394;
"3383700";более 40;9020;7327;
"2479100";4;23530;18520;
"432508";4;18340;14905;
"281111";18;17790;14463;
"459411";38;7630;6203;
"862539";4;17040;13853;
"541826";более 40;21320;17328;
"692362";более 40;24230;19698;
"046140";более 40;21960;17849;
"139581";4;31550;25646;
"149233";8;23910;19436;
"151960";2;44110;35854;
"179961";1;31350;25481;
"195027";5;27250;22154;
"205578";7;42960;34924;
"249604";24;22350;18170;
"298685";4;23790;19334;
"358338";14;20410;16592;
"408789";более 40;17060;13868;
"452072";11;20830;16929;
"470472";более 40;20990;17061;
"509680";3;20360;16546;
"570091";более 40;30890;25111;
"575222";24;18380;14943;
"580790";4;24750;20121;
"653203";26;24770;20136;
"660590";8;26050;21173;
"743247";более 40;34060;27683;
"774763";4;30630;24902;
"811774";1;9420;7656;
"814911";4;21650;17598;
"841567";4;28900;23494;
"848719";3;9560;7770;
"855688";4;47680;38763;
"867088";1;21240;17267;
"886603";более 40;26080;21202;
"999612";более 40;22080;17946;
"017529";17;25520;20746;
"311223";2;94210;74180;
"T430493";22;20570;16719;
"T430494";24;21220;17244;
"T430500";8;24110;19598;
"T430503";16;23640;19214;
"T430508";2;25550;20771;
"T430510";8;25550;20771;
"TS32394";8;17570;14280;
"TS32395";более 40;19140;15556;
"TS32396";более 40;19650;15968;
"TS32399";8;19530;15875;
"TS32400";более 40;20060;16306;
"BR007668";12;29830;24248;
"BR007671";5;28850;23455;
"BR009725";1;21480;17462;
"3763400";более 40;11400;9267;
"2265800";2;68840;55961;
"2558600";33;13590;11044;
"2603400";1;33530;21802;
"2751700";30;44750;36378;
"2751900";4;26910;21872;
"2805200";более 40;15790;12837;
"2805300";более 40;18210;14800;
"2805400";более 40;25230;20508;
"2805600";28;43870;35074;
"2805900";12;31070;25256;
"2806100";более 40;17430;14168;
"2806200";более 40;18500;15037;
"2806700";более 40;30740;24986;
"2806800";более 40;26810;21793;
"2855700";3;41560;33784;
"2863800";4;16320;13266;
"2919100";4;39020;31720;
"3033600";1;41780;33965;
"3033700";1;38410;31224;
"3042400";4;31670;25745;
"3288900";более 40;16880;13717;
"3289000";более 40;18510;15048;
"3289100";более 40;18680;15183;
"3289200";более 40;19850;16131;
"3289300";36;18710;15206;
"3289400";более 40;18940;15398;
"3289600";более 40;19280;15668;
"3289800";более 40;24130;19616;
"3289900";10;32440;24651;
"3290000";более 40;28540;23203;
"3290100";20;26240;21331;
"3290200";более 40;22410;18218;
"3290300";34;24510;19921;
"3290400";более 40;26420;21478;
"3290600";40;20190;16413;
"3290700";16;19640;15962;
"3290800";более 40;22370;18184;
"3290900";более 40;24230;19695;
"3291000";16;24290;19740;
"3291100";более 40;24970;20293;
"3291400";более 40;31760;25820;
"3291500";2;39490;32103;
"3291800";2;10580;8596;
"3291900";более 40;10660;8664;
"3292000";24;11340;9216;
"3292200";22;12490;10152;
"3292300";40;21260;17281;
"3292400";более 40;19040;15477;
"3292600";более 40;16560;13458;
"3292700";40;20070;16311;
"3292900";24;23200;18861;
"3293000";16;25090;19845;
"3293200";более 40;31460;25571;
"3293400";более 40;39330;31973;
"3293500";более 40;22300;18127;
"3293600";более 40;17960;14597;
"3293700";более 40;26270;21354;
"3293900";более 40;15230;12375;
"3294000";более 40;14990;12183;
"3294300";более 40;21190;17225;
"3294400";более 40;24430;19859;
"3324600";более 40;22870;18590;
"3586300";более 40;18350;14913;
"3722000";30;36760;29881;
"3722200";12;28090;22831;
"3732100";более 40;17860;14518;
"3762800";4;14170;11517;
"3762900";более 40;16310;13254;
"3763000";более 40;12520;10175;
"0344995";более 40;12380;10058;
"0345129";6;24460;19884;
"0347359";более 40;8150;6619;
"0347957";более 40;10860;8825;
"0347965";2;11520;7615;
"0347961";более 40;11770;9568;
"0347387";более 40;11560;9395;
"0347407";1;14870;12084;
"0355056";1;14570;11842;
"0355222";1;22880;18601;
"0453236";28;12080;9817;
"0453237";36;15670;12733;
"0453239";более 40;12120;9851;
"0453243";3;12400;10077;
"0453244";более 40;11510;9356;
"0453246";28;12480;10145;
"0453249";более 40;14660;11918;
"0453252";более 40;14230;11565;
"R2837";2;20730;16856;
"R4652";14;18170;14775;
"R4653";18;18780;15271;
"R4656";8;8430;6853;
"R3511";4;26740;21736;
"R4677";15;24390;19827;
"R4678";2;19130;15550;
"R4680";8;17550;14268;
"R4682";12;19220;15630;
"R4683";более 40;17480;14215;
"R4686";2;24290;19745;
"R4687";1;19570;15910;
"R4688";3;22320;18147;
"R4689";31;19480;15839;
"R4691";4;18930;15392;
"R4693";12;23700;19272;
"R4651";10;17560;14280;
"R4419";12;22390;18205;
"2249113";2;20750;16866;
"2249353";более 40;14630;11894;
"TW00797";1;12890;10480;
"F8581";2;15540;12632;
"R4533";2;24250;19089;
"1023366";15;13670;11110;
"1023666";6;15880;12910;
"1023672";16;23510;19110;
"1023677";4;17470;14200;
"1025577";1;15240;12390;
"1025578";1;13130;10670;
"1025582";4;14100;11460;
"1025584";14;9020;7330;
"1023364";7;13340;10840;
"549705";1;18320;14420;
"2751800";27;33300;27072;
"548568";4;9380;7621;
"548565";2;7690;6244;
"16142";28;8300;6746;
"15475";9;16070;13063;
"13935";1;9160;7443;
"13954";более 40;11590;9417;
"1581089";2;9970;7843;
"781308";1;25500;20072;
"823776";4;14690;11565;
"935882";2;17740;13963;
"0344974";12;6530;5302;
"574151";4;7860;6388;
"574154";1;17050;13860;
"15440";4;11400;9267;
"15448";2;11390;9257;
"15482";12;10050;8165;
"2604000";4;34920;27495;
"2752000";32;20280;16481;
"1580996";20;6440;5064;
"907776";4;16660;13118;
"R2867";3;14110;11107;
"16021";2;18280;14854;
"1430009";18;44150;41647;
"817394";2;7650;6026;
"543473";12;22050;14724;
"547987";8;18940;14908;
"16133";3;8350;6783;
"R2319";4;18770;15265;
"0354337";7;21110;17162;
"0355327";3;15090;12267;
"0355179";36;24150;19629;
"3584400";более 40;7220;5866;
"2261243";1;12330;10021;
"2251253";2;12450;10114;
"CTS222516";более 40;9210;7480;
"CTS222520";11;11060;8990;
"CTS222523";4;10200;8290;
"696261";8;28330;23030;
"574295";1;19900;16174;
"2248503";1;6920;5623;
"2248523";1;8650;7029;
"BR015169";4;10480;8515;
"428644";2;21940;17273;
"BR009995";более 40;51660;41999;
"3520800";28;12460;10130;
"2207793";20;17590;14296;
"666886";4;24390;19199;
"3291200";19;63830;51888;
"3630300";более 40;30880;25098;
"0345024";7;18460;15001;
"TS32379";35;28430;23106;
"T430515";2;30020;24400;
"BR016711";4;15200;12351;
"BR017707";1;16070;13058;
"T430502";3;23070;18754;
"546135";3;21580;14882;
"574236";4;28700;23331;
"CTS223619";2;9780;7950;
"BR016591";12;11660;9474;
"BR016703";10;21320;17332;
"T430464";3;17470;14196;
"T430777";8;33750;27439;
"T430516";27;32300;26257;
"CTS224424";1;8470;6880;
"CTS224427";10;10440;8480;
"BR015334";4;21670;17616;
"BR015335";4;20590;16734;
"BR015338";4;20350;16541;
"T430492";7;20750;16869;
"R4648";5;13800;11218;
"BR016704";12;22140;17999;
"BR018349";8;22840;17978;
"0355180";2;38690;31449;
"0311518";2;17410;13703;
"0358713";1;15490;12196;
"2207463";1;24693;19443;
"BR009617";более 40;51660;41999;
"BR017758";более 40;11420;8990;
"BR017764";33;14850;11686;
"BR017767";1;15990;12585;
"BR017765";более 40;12560;9889;
"BR023575";26;17840;14047;
"BR017751";4;15620;12293;
"BR017747";6;16730;13169;
"BR017749";4;17840;14047;
"BR010435";1;23210;18274;
"BR010882";более 40;13970;11000;
"BR011180";3;35740;28141;
"BR013371";4;8310;6541;
"BR014256";1;34780;27381;
"BR014827";14;7820;6157;
"BR014830";8;9800;7714;
"BR017232";4;7720;6074;
"BR018344";4;18990;14950;
"BR009821";16;18920;14894;
"BR009825";26;23210;18274;
"BR009914";12;25540;20103;
"BR012494";4;15440;12156;
"BR015322";8;17000;13820;
"BR015339";24;21390;17388;
"BR015340";12;21810;17726;
"CTS226200";4;6010;4880;
"3814600";4;19470;15323;
"2691800";1;39270;30918;
"2750900";5;33890;26683;
"920434";более 40;18530;15059;
"R0410";17;11670;9185;
"R2597";3;10330;8129;
"16402";6;19540;15383;
"BR015297";3;13310;10816;
"BR015300";более 40;15750;12801;
"BR015304";2;11160;9066;
"BR015314";8;17900;14550;
"BR015337";12;21530;17502;
"R5004";4;11770;9260;
"549811";6;28460;22406;
"574610";23;15560;12250;
"578653";1;24050;18935;
"548011";2;25010;19691;
"576205";34;11470;9024;
"3220500";1;14490;11408;
"535975";1;34340;27033;
"545628";1;33760;20622;
"545669";более 40;19770;15565;
"549452";2;30070;23671;
"549685";2;13850;10903;
"575259";1;33010;25985;
"575686";1;10030;7895;
"576024";1;20920;16472;
"576206";более 40;12260;9653;
"576207";более 40;12130;9551;
"576208";23;14030;11040;
"577377";2;18460;14530;
"579108";2;25850;20349;
"579218";1;20330;16005;
"579222";2;35290;27787;
"BR015296";более 40;8610;6999;
"BR015333";8;16770;13632;
"BR015352";2;42130;34251;
"BR017724";более 40;17660;13903;
"031056";1;5390;4244;
"066250";8;8110;6384;
"698302";1;16110;12681;
"873387";4;30610;24099;
"967701";8;32350;25468;
"122657";более 40;12630;9943;
"1024263";4;42910;32773;
"BR018907";более 40;18060;14682;
"BR018909";12;19690;16006;
"BR018912";более 40;18830;15304;
"BR018913";8;17330;14088;
"2750700";2;34890;27472;
"0358077";17;15490;12196;
"2532800";1;34260;27853;
"2808700";2;46070;36269;
"3573100";1;64740;50974;
"BR010875";2;9020;7102;
"BR018911";более 40;17360;14107;
"1023846";1;43870;33506;
"1019653";более 40;10390;7933;
"086627";более 40;6140;4833;
"727156";1;6880;5413;
"835334";2;7850;6179;
"003718";более 40;6650;5235;
"983314";34;9250;7277;
"313002";более 40;9590;7547;
"045877";5;8930;7031;
"041035";3;10930;8601;
"468193";более 40;11440;9001;
"534266";4;28970;22811;
"569535i";1;10690;8690;
"BR009854";35;18920;14894;
"CTS227664";2;3500;3012;
"CTS227678";1;3700;3187;
"R2954";2;17390;13690;
"R5675";2;20680;16276;
"R5688";4;16620;13085;
"R5703";3;8830;6945;
"CTS228008";2;9920;8545;
"CTS228009";4;10900;9392;
"CTS228010";13;10520;9062;
"CTS228029";2;7800;6724;
"CTS228045";11;8560;7376;
"CTS228047";более 40;7550;6504;
"CTS228121";1;9090;7830;
"CTS228122";1;9200;7928;
"3584300";более 40;10270;8080;
"3275600";3;20310;15987;
"1020966";3;6590;5028;
"1021174";8;10520;8036;
"1020975";3;7090;5410;
"1020786";15;40670;31063;
"1024674";37;7000;5342;
"1024675";более 40;8190;6251;
"1024684";12;9890;7550;
"1024113";6;17450;13325;
"786069";4;9080;7142;
"1020992";32;10620;8107;
"1024673";1;7340;5604;
"1024677";3;6860;5238;
"1024683";24;8470;6463;
"1024689";более 40;7510;5730;
"1024690";4;8470;6470;
"927517";1;6850;5388;
"814713";более 40;10250;8069;
"455708";2;8900;7007;
"478952";12;9640;7583;
"527719";более 40;6500;5117;
"557340";16;11980;9428;
"991015";4;7780;6120;
"230800";1;12160;9569;
"2020798";2;21990;16792;
"569392";2;41990;39990;
"BR013817";4;23200;18260;
"BR018900";12;19240;15635;
"0358476";2;32580;25646;
"TTS230153";1;14220;13540;
"574404";8;23620;12410;
"1580947";1;14310;11262;
"BR016583";36;17620;14318;
"BR018902";12;20390;16573;
"BR013975";более 40;11160;9066;
"BR015302";4;13200;10725;
"BR016586";24;7470;6067;
"BR016587";16;16460;13377;
"BR016588";3;15940;12955;
"BR016589";12;12960;10536;
"BR016593";24;8830;7176;
"BR016594";16;11570;9405;
"BR016598";16;7920;6433;
"BR016601";более 40;11480;9326;
"BR016602";16;7070;5740;
"BR016794";20;12020;9768;
"BR018901";более 40;20070;16309;
"BR018906";более 40;18750;15241;
"BR018917";31;11830;9613;
"BR010890";4;20960;16503;
"548814";3;25350;19955;
"549717";2;25490;20064;
"578622";12;16330;12856;
"547106";5;24470;19260;
"0355463";39;9290;7552;
"BR013694";4;20690;16285;
"356061";1;32460;25558;
"421458";8;27930;21990;
"592445";14;12780;10057;
"691128";2;12760;10042;
"728258";13;14840;11681;
"817321";4;15520;12213;
"897953";2;40070;31550;
"BR018918";25;16330;13270;
"378669";2;32230;26198;
"877173";более 40;10650;8382;
"BR018919";4;11710;9519;
"BR018920";8;18400;14959;
"561395";2;15500;12199;
"BR018916";более 40;17440;14175;
"BR015324";4;18930;15390;
"3266200";4;42500;34551;
"3643900";5;16740;13181;
"3868000";1;49940;40598;
"TS32410";40;43320;35214;
"579245";3;10630;8367;
"BR009990";8;27060;21999;
"BR010881";16;15140;11919;
"BR015081";4;23970;19486;
"BR015114";16;34800;28289;
"1024670";более 40;6840;5222;
"TS32398";12;26630;21643;
"BR016582";4;32800;26666;
"15441";4;11290;9174;
"15483";4;9910;8051;
"15439";12;19800;16091;
"15649";24;12740;10352;
"1024682";34;10450;7980;
"184646";8;34370;27939;
"263189";12;42360;34435;
"BR018934";20;21940;17836;
"574305";1;20100;16336;
"574312";5;27470;22332;
"583636";20;23690;19257;
"574452";2;28020;22775;
"R4074";2;22050;17925;
"R2821";14;5910;4804;
"R2835";4;7910;6436;
"R2850";4;7830;6366;
"R5838";34;18590;15118;
"R5741";8;31810;25861;
"R4675";более 40;17630;14331;
"R5649";1;22880;18602;
"14243";2;12770;10374;
"14247";8;14020;11391;
"15913";4;12940;10519;
"15916";2;10840;8810;
"16018";12;18430;14984;
"16019";12;18470;15015;
"16020";20;22610;18377;
"16023";8;18250;14831;
"16644";8;13830;11239;
"16650";18;26580;21604;
"3732900";8;30650;24918;
"2792500";2;38300;31133;
"001479";4;7220;5863;
"014471";12;26610;21629;
"019611";11;33650;27352;
"036191";более 40;10760;8746;
"036244";16;15360;12484;
"039811";32;14020;11398;
"067925";более 40;10980;8922;
"075097";более 40;24350;19794;
"100439";более 40;9820;7979;
"112626";5;16850;13693;
"129060";10;15620;12695;
"144265";16;32920;26762;
"146245";38;14560;11832;
"188338";10;16730;13600;
"189704";9;18650;15157;
"199396";3;6630;5388;
"212929";4;29810;24228;
"217132";20;34970;28428;
"246010";более 40;19680;15998;
"266181";8;16720;13586;
"277313";более 40;18080;14694;
"285498";36;6530;5301;
"305719";5;18810;15289;
"308570";более 40;16900;13734;
"322344";8;15000;12187;
"323501";8;5960;4839;
"324629";более 40;14140;11492;
"329394";8;19340;15720;
"354439";11;26100;21216;
"363931";4;22200;18046;
"372679";1;56190;45677;
"373356";20;9520;7735;
"383240";более 40;16030;13028;
"397283";6;33500;27234;
"400573";более 40;26170;21272;
"406455";16;25080;20387;
"448932";2;40520;32937;
"450057";3;12590;10230;
"482873";более 40;18360;14919;
"520185";2;28640;23284;
"521109";1;33860;27522;
"521351";20;7540;6127;
"525663";более 40;29730;24166;
"530430";24;18460;15006;
"550036";2;20200;16417;
"560217";8;15650;12721;
"583030";5;17550;14268;
"587555";36;33680;27376;
"601079";32;17050;13855;
"607891";1;20960;17040;
"649313";более 40;10100;8211;
"654164";2;16690;13569;
"663365";4;11660;9477;
"674532";1;14910;12119;
"698288";более 40;10770;8755;
"706179";более 40;14440;11738;
"723255";8;14190;11533;
"765732";более 40;18190;14783;
"783821";21;10450;8491;
"788954";8;16650;13534;
"812454";24;11210;9108;
"814974";12;18290;14865;
"817432";13;43990;35757;
"817448";8;19200;15606;
"820176";3;21680;17622;
"841717";4;36120;29365;
"872580";2;20260;16465;
"879437";34;18100;14712;
"886117";16;6500;5282;
"909665";2;37590;30558;
"920580";12;7120;5781;
"921645";2;27680;22504;
"926479";4;54400;44227;
"931218";более 40;15080;12254;
"960570";20;36610;29760;
"965678";8;21940;17836;
"969295";2;19930;16201;
"991589";4;6500;5282;
"999099";более 40;19880;16161;
"003477";более 40;6990;5678;
"BR018925";12;24760;20127;
"BR018941";8;26470;21516;
"BR018946";16;24290;19743;
"BR018950";4;19230;15628;
"BR018951";4;20570;16723;
"BR018955";4;12720;10336;
"BR018963";16;23300;18942;
"T430769";4;15140;12306;
"BR471628";более 40;16160;13136;
"579246";1;10090;7944;
"CTS235779";4;8470;6880;
"CTS236224";21;6710;5450;
"CTS236225";12;6340;5150;
"872809";10;8750;6882;
"CTS236252";7;9780;7950;
"BR018932";2;26210;21302;
"BR018956";34;27630;22460;
"BR018957";7;21750;17680;
"CTS236318";2;10200;8290;
"CTS236320";13;10200;8290;
"CTS236333";более 40;7990;6490;
"CTS236345";16;9320;7570;
"CTS236350";более 40;9220;7490;
"0347393";2;14460;11755;
"0347570";8;19930;16198;
"0349011";19;15160;12320;
"0347863";14;16110;13093;
"0347885";1;18610;15130;
"0347895";более 40;15780;12824;
"0349029";1;24950;20284;
"0347893";более 40;17600;14305;
"0347909";4;21410;17405;
"2264193";более 40;10260;8337;
"2264113";1;11000;8942;
"2249213";26;11670;9487;
"2249293";2;14730;11972;
"2249433";2;20760;16877;
"574299";4;18550;15076;
"126305";12;18320;14423;
"235329";2;15900;12518;
"488689";10;12260;9649;
"605931";2;35440;27902;
"BR009366";8;22960;18666;
"BR015073";8;21720;17658;
"BR015105";8;36340;29540;
"BR016709";16;21320;17332;
"BR016791";28;15910;12931;
"BR018926";20;20610;16748;
"1017588";12;10510;8537;
"3840600";4;53740;43688;
"1015877";36;13360;10860;
"1026309";8;19990;16250;
"1026384";4;13170;10703;
"BR016700";8;16630;13518;
"BR016581";12;41000;33332;
"BR018942";8;22790;18525;
"BR015348";5;26230;21322;
"BR015054";8;21900;17797;
"BR015058";16;22810;18539;
"BR015085";8;24070;19568;
"BR015319";5;15270;12414;
"BR018922";4;19070;15498;
"BR018928";4;33810;27481;
"BR018949";2;30800;25035;
"BR015359";2;36080;29332;
"R4554";более 40;8350;6570;
"0353518";2;17960;14600;
"0354777";2;15020;12206;
"0355139";3;12930;10506;
"0355251";2;29200;23739;
"0355262";1;38050;30932;
"0355303";5;24250;19709;
"0355405";3;27110;22037;
"15900";16;15770;12820;
"15909";6;13080;10632;
"2719700";8;11340;9213;
"3120300";18;60290;49012;
"3743200";2;86300;53496;
"524695";3;14180;11161;
"BR016784";8;19250;15643;
"BR018935";3;18070;14687;
"BR018961";8;27500;22355;
"BR468863";20;18660;15166;
"BR015294";16;14210;11549;
"BR015129";1;37880;30794;
"BR015138";8;7370;5985;
"BR015307";4;15520;12613;
"BR015336";2;22960;18666;
"637670";2;56040;44125;
"631685";13;11450;9015;
"BR015091";2;35410;28782;
"BR015131";8;42070;34203;
"BR016783";12;17290;14053;
"BR016789";8;14840;12062;
"BR010432";17;18570;14620;
"BR014179";2;21710;17090;
"BR015291";более 40;8610;6999;
"BR017763";более 40;14850;11686;
"BR019262";более 40;13070;10287;
"0347594";2;8220;6679;
"BR471737";1;10240;8322;
"652285";2;48000;37790;
"BR468865";12;17530;14248;
"0358706";1;50070;39423;
"0347865";2;18590;15110;
"BR016715";4;25810;20976;
"BR016719";8;26600;21621;
"BR018937";5;23000;18699;
"BR018954";2;25230;20507;
"BR468860";1;16290;13241;
"0347560";1;14410;11715;
"BR015136";4;42820;34810;
"BR014051";7;25540;20103;
"BR016792";1;7680;6238;
"BR016779";16;22610;18381;
"BR016782";4;21880;17783;
"BR016796";12;8510;6913;
"BR018936";2;21810;17726;
"484872";более 40;28510;23176;
"1026226";9;17320;14080;
"1026318";18;21810;17730;
"1026314";5;20130;16360;
"1026311";10;19620;15945;
"1026385";4;14270;11597;
"1026402";12;15170;12330;
"1026392";9;18210;14804;
"1026389";2;14060;11427;
"0349005";1;16000;13004;
"867263";2;37550;30527;
"1023393";5;16550;13450;
